"ID_GROUPES_PATIENT","NOM","DESCRIPTION_FR","DESCRIPTION_EN","REMARQUES_FR","REMARQUES_EN",,,,,
243,"790-2","Sujet pollinique au bouleau et à l'armoise et allergique aux épices","A subject with pollinosis to birch and mugwort and allergic to spices",,,,,,,
244,"791-1","Une adulte pollinique avec allergie au kiwi et à la figue (mais pas au latex)","An adult with pollinosis who is allergic to kiwi and to fig (but not to latex)",,,,,,,
245,"798-1","Sujets ""sensibilisés"" à Aspergillus fumigatus","Subjects ""sensitized"" to Aspergillus fumigatus",,,,,,,
246,"799-1","Sujets polliniques au bouleau et allergiques à la cerise","Subjects with pollinosis to birch and allergy to cherry",,,,,,,
247,"804-1",,,"Manquent détails dans l'article","Details missing in the article",,,,,
248,"805-1","Sujets RAST positifs pour armoise et noisette","Subjects RAST+ for mugwort and hazelnut",,,,,,,
249,"808-1","Sujet atopique et TC positif pour Candida","An atopic subject with +ST for Candida",,,,,,,
250,"809-1","Allergiques au pollen d'olivier","Subjects allergic to olive pollen with + ST and IgE",,,,,,,
251,"810-1","Sujets allergiques au latex puis au sarrasin","Subjects allergic to latex and also to buckwheat",,,,,,,
252,"813-1",,,"Utilisation de mAb","Done with an mAb",,,,,
253,"814-1","Allergie professionnelle à la pectine (de peau d'agrumes)","Occupational allergy to pectin (of the skin of citrus fruits)",,,,,,,
254,"815-1","Patients polliniques aux graminées","Patients with pollinosis to grasses",,,,,,,
255,"815-2","Patients polliniques aux graminées","Patients with pollinosis to grasses",,,,,,,
256,"818-1","Patients ""sensibilisés"" au cyprès","Patients ""sensitized""to cypress",,,,,,,
257,"820-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
258,"821-1","Sujets allergiques au latex (spina bifida et professionnels de santé) et positifs pour l'hévéine","Sujects allergic to latex (spina bifida and health care professionals) and positive for hevein",,,,,,,
259,"823-1","1 patiente ayant des réactions cliniques avec les intestins ou les rognons de porc, mais tolérant la viande de porc","One patient having had clinical reactions to pig intestine or kidneys, but who is tolerant to pig's meat",,,,,,,
260,"824-1","patient allergique à la viande de poulet et de dinde","A patient allergic to chicken and turkey meat",,,,,,,
261,"825-1","Patiente allergique à la laitue","A patient allergic to milk",,,,,,,
262,"826-1","Allergiques au pollen de palmier","Patients allergic to palm pollen",,,,,,,
263,"827-1","patiente allergique aux pollens, chat, œuf et viande de poulet crue","A patient allergic to pollen, cat, egg and raw chicken meat","L'inhibition lysozyme -> ovomucoïde n'a pas été gardée car contamination très probable de l'ovomucoïde Sigma par du lysozyme","Lysozyme inhibition -> ovomucoid was not used because the Sigma ovomucoid was probably contaminated with lysozyme",,,,,
264,"827-2","patiente allergique aux pollens de graminées et à l'œuf cru","A patient allergic to grass pollen and raw egg",,,,,,,
265,"828-1","Réaction anaphylactique à l'ingestion d'un gland de chêne","An anaphylactic reaction following ingestion of an oak acorn",,,,,,,
266,"830-1","Sujets polliniques","Subjects with pollinosis",,,,,,,
267,"831-1","Sujets allergiques aux escargots et ""sensibilisés"" aux acariens","Subjects allergic to snails and ""sensitized"" to mites",,,,,,,
268,"831-2","Sujet allergique aux escargots et ""sensibilisé"" aux acariens","A subject allergic to snails and ""sensitized"" to mites",,,,,,,
269,"833-1","Patients asthmatiques et TC positifs pour Fusarium","Asthmatic patients with +ST to Fusarium",,,,,,,
270,"834-1","Sujets allergiques à l'archide et CAP+ farine de blé et maïs","Subjects allergic to peanuts and CAP+ to wheat and corn flour",,,,,,,
271,"835-1","Patients allergiques aux fruits des rosacées, sans pollinose","Patients allergic to Rosaceae fruits, without pollinosis",,,,,,,
272,"837-1","Asthme professionnel à l'ail","Occupational allergy to garlic",,,,,,,
273,"858-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
274,"859-1","Sujets allergiques à l'avocat et TC positif latex et/ou banane et/ou châtaigne","Subjects allergic to avocado with +ST to latex and/or banana and/or chestnut",,,,,,,
275,"860-1","Patients allergiques à la crevette","Patients allergic to shrimp",,,,,,,
276,"862-1","Enfants avec allergie aux poissons et TC+ roussette","Children to fish with +ST to catshark",,,,,,,
277,"862-2","Enfants avec allergie aux poissons et TC+ aux poissons testés","Children allergic to fish with +ST to the fish tested",,,,,,,
278,"866-1",,," et comment des extraits RAST-négatifs peuvent agir sur le RAST patelle ?","and how might RAST-negative extracts act in limpet RAST?",,,,,
279,"867-1","Allergie aux poissons et TC+ aux poissons testés","Allergy to fish with +ST to the fish tested",,,,,,,
280,"868-1","Sujets sensibilisés au latex et à la figue","Subjects sensitized to latex and fig",,,,,,,
281,"869-1","Sujets RAST+ aux acariens testés","Subjects RAST+ to mites assayed",,,,,,,
282,"869-2","Sujets RAST+ aux acariens testés","Subjects RAST+ to mites assayed",,,,,,,
283,"877-1","Un patient allergique au latex puis à la châtaigne et au poivron","A patient allergic to latex and also to chestnut and sweet pepper",,,,,,,
284,"884-1","Sujets allergiques au latex et présentant une bande 33kD avec la banane","Subjects allergic to latex who have a 33 kDa band with banana",,,,,,,
285,"887-1","Allergiques aux ""pollens d'arbres""","Subjects allergic to ""tree pollen""",,,,,,,
286,"921-1",,,"Manquent détails (résumé possésé seulement)","Details missing (only the abstract available)",,,,,
287,"956-1","Sujets professionnellement exposés à Bombus terrestris","Subjects occupationally exposed to Bombis terrestris",,,,,,,
288,"974-1","Asthmatiques TC+ pour les 2 blattes","Asthmatics ST+ to 2 cockroaches",,,,,,,
289,"975-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
290,"979-1","Sujets allergiques au latex et TC banane positifs","Subjects allergic to latex and ST+ to banana",,,,,,,
291,"989-1","Sujets allergiques au pollen de tournesol","Positive tests with sunflower pollen",,,,,,,
292,"995-1","Positivité pour le pollen de colza","Positive tests with colza polllen",,,,,,,
293,"997-1","Asthme professionnel du à la gomme arabique","Occupational asthma to gum arabic",,,,,,,
294,"1007-1","Patient allergique au tabac","Patient allergic to tobacco",,,,,,,
295,"1008-1",,,"Données inexploitables : les sujets n'étaient pas réactifs in vitro pour les inhibiteurs testés !","Data inexploitable: the subjects' sera were not reactive in vitro for the inhibitors assayed!",,,,,
296,"1013-1","Patients allergiques au latex et à l'avocat et/ou la châtaigne","Patients allergic to latex and avocado and/or chestnut",,,,,,,
297,"1016-1","Banque de sérums: IgE+ pour crevette, crabe, homard","Serum banks: IgE+ for shrimp, crab and lobster",,,,,,,
298,"1017-1","Sujets allergiques aux acariens et IgE+ pour l'acarien testé en inhibition (pools)","Subjects allergic to mites with +IgE in inhibition assays with mites (pools)",,,,,,,
299,"1018-1","Allergiques au kiwi et polliniques au bouleau (5 sujets/9)","Patients allergic to kiwi with birch pollinosis (5/9 subjects)",,,,,,,
300,"1019-1","Sujets avec allergie repiratoire persistante et proximité avec des chauves-souris","Subjects with persistent respiratory allergy who areclose to bats",,,,,,,
301,"1020-1","Un cas d'allergie à la figue chez une femme de 55 ans exposée au Ficus","A case of allergy to fig in a 55 yr old woman exposed to Ficus",,,,,,,
302,"1021-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
303,"1022-1","Patients ayant présenté une réaction sévère à la bière","Patients with a history of a severe reaction to beer",,,,,,,
304,"1033-1","Patients allergiques à la carotte","Patients alleric to carrot",,,,,,,
305,"1035-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
306,"1037-1","Patients avec allergie sévère à la noix et à la noix de coco","Patients with severe allergy to walnut and coconut",,,,,,,
307,"1038-1","1 enfant allergique aux laits de vache et de chèvre TC+ TPO+ IgE+","A child allergic to cow's milk and goat's milk with +ST, +oral food challenge and + IgE",,,,,,,
308,"1044-1","Allergie à la bière","Allergy to beer",,,,,,,
309,"1047-1","Enfants avec allergie au lait de vache","Children allergic to cow's milk",,,,,,,
310,"1048-1","Patient allergique à l'ail","Patient allergic to garlic",,,,,,,
311,"1054-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
312,"1055-1","Patients allergiques au céleri et/ou polliniques au bouleau","Patients allergic to celery and/or with birch pollinosis",,,,,,,
313,"1057-1","Polliniques au bouleau avec syndrome oral pomme et/ou kiwi","Patients with birch pollinosis and an oral allergy syndrome to apple and/or kiwi",,,,,,,
314,"1057-2","Polliniques au bouleau avec syndrome oral pomme et/ou kiwi","Patients with birch pollinosis and an oral allergy syndrom to apple and/or kiwi",,,,,,,
315,"1065-1","Enfants allergiques à la cerise","Children allergic to cherries",,,,,,,
316,"1068-1","Histoire positive avec TC et/ou RAST positif pour soja, arachide, riz ou maïs","Positive history with +ST and/or RAST for soy, peanut, rice or corn",,,,,,,
317,"1069-1","Pollinose à Putranjiva","Pollinosis to Putranjiva",,,,,,,
318,"1070-1","Sujets avec asthme/rhinite et CAP+ pour la blatte américaine","Subjects with asthma/rhinitis and CAP+ for Ammerican cockroach",,,,,,,
319,"1070-2","Sujets avec allergie aux fruits de mer et CAP+ crevette","Subjects allergic to seafood CAP+ to shrimp",,,,,,,
320,"1073-1","Sujets allergiques au latex et/ou à l'avocat","Subjects allergic to latex and/or avocado",,,,,,,
321,"1079-1","Adultes asthmatiques","Asthmatic adults",,,,,,,
322,"1086-1",,,"Pas de RC testée","CR not assayed",,,,,
323,"1090-1","patient allergique au moustique","A patient allergic to mosquitos",,,,,,,
324,"1091-1","Patients présentant un RAST Aspergillus fortement positif","Patients presenting with a strongly +RAST for Aspergllus",,,,,,,
325,"1093-1","Patients allergiques au latex et à la banane","Patients allergic to latex and banana",,,,,,,
326,"1094-1","Sujets allergiques au latex et à l'avocat","Subjects allergic to latex and avocado",,,,,,,
327,"1095-1","Patient asthmatique","An asthmatic patient",,,,,,,
328,"1101-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
329,"1103-1","RAST+ Blomia et Dermatophagoides","RAST+ to Blomia and Dermatophagoides",,,,,,,
330,"1120-1","Un cas d'anaphylaxie au miel","A case of anaphuylaxis to honey",,,,,,,
331,"1122-1","Sujets allergiques à l'olivier et aux graminées","Subjects allergic to olive and grasses",,,,,,,
332,"1123-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
333,"1134-1","Patients avec eczéma atopique","Patients with atopic eczema",,,,,,,
334,"1137-1","Allergique aux pignons de pin","A person allergic to pine nuts",,,,,,,
335,"1142-1","Anaphylaxie après piqûre de fourmi Pachycondyla","Anaphylaxis after a Pachycondyla ant bite",,,,,,,
336,"1143-1","Allergiques à l'arachide TPO positifs pour le lupin","Anaphylaxis to peanut and oral food challenge with lupines",,,,,,,
337,"1144-1","Anaphylaxie à la noix de macadamia","Anaphylaxis due to macadamia nuts",,,,,,,
338,"1145-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
339,"1148-1","Enfants ayant eu une réaction anaphylactique après injection d'un vaccin","Children having had an anapylactic reaction after a vaccine injection"," ",,,,,,
340,"1149-1","Sujets allergiques au latex et à l'avocat et/ou la banane et/ou la châtaigne","Subjects allergic to latex and avocado and/or banana and/or chestnut",,,,,,,
341,"1150-1","Sujets allergiques à la pêche (enfants et adultes)","Subjects allergic to peach (children and adults)",,,,,,,
342,"1156-1","Allergique aux graines de pavot","A person allergic to poppy seeds",,,,,,,
343,"1157-1","Patients allergiques au pollen de houblon","Patients allergic to Humulus pollen",,,,,,,
344,"1158-1","Sujets polliniques aux Cupressacées","Subjects with pollinosis to Cupressaceae",,,,,,,
345,"1159-1","1 enfant de 2 ans allergique au lait de chèvre","A 2 year old child allergic to goat's milk",,,,,,,
346,"1162-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
347,"1164-1","Enfants avec dermatite atopique et RAST latex positif","Children with aropic dermatitis and +RAST to latex",,,,,,,
348,"1176-1","Sujet avec allergie respiratoire persistante et TC positif pour une ou des moisissures","A subject with persistent respiratory allergy and +ST for one or more molds",,,,,,,
349,"1176-2","Sujets avec allergie respiratoire persistante et TC positif pour une ou des moisissures","Subjects with persisitent respiratory allergy and +ST for one or more molds",,,,,,,
350,"1177-1","Sujets présentant des RAST élevés pour différents Basidiospores","Subjects presenting with elevated RAST levels for different Basidiospores",,,,,,,
351,"1183-1","Polliniques aux graminées avec positivité pour rPhl p 1 (mais pas pour rPhl p 5)","Patients with pollinosis who are positive for rPhl p 1 (but not for rPhl p 5)",,,,,,,
352,"1190-1","Patient pollinique au bouleau","Patients with birch pollinosis",,,,,,,
353,"1191-1","Patients polliniques au chiendent digité","Patients with Bermuda grass pollinosis",,,,,,,
354,"1193-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
355,"1212-1","Patients polliniques bouleau et/ou graminées et/ou armoise","Patients with pollinosis to birch and/o grasses and/or mugwort","Des tests quantitatifs effectués, mais résultats présentés sous fome de moyennes/min/max","Quantitative assays done, but the results are shown in the form of mean/minimum/maximum",,,,,
356,"1221-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
357,"1222-1","Polliniques à Juniperus ashei","Patients with pollinosis to ashe juniper",,,,,,,
358,"1226-1","Sujets allergiques à la noix","Subjects allergic to walnut",,,,,,,
359,"1227-1","Sujets allergiques au latex et RAST positifs pomme de terre (9/15 sont allergiques à la pomme de terre)","Subjects allergic to latex and RAST+ for potato (9/15 allergic to potato)",,,,,,,
360,"1227-2","Sujets allergiques au latex et à la banane et/ou à l'avocat","Subjects allergic to latex and banana and/or avocado",,,,,,,
361,"1228-1","Sujets polliniques au bouleau et CAP positifs pour le soja","Subjects with birch pollinosis and CAP+ for soy",,,,,,,
362,"1230-1","Sujets allergiques aux acariens et TC+ Tyrophagus","Subjects allergic to mites and ST+ to Tyrophagus",,,,,,,
363,"1235-1",,,"Utilisation d'un Ab animal","A non-human Ab was used",,,,,
364,"1237-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
365,"1238-1","Sujets spina bifida avec rHev b 3 positif","Spina bifida subjects with + rHev b 3",,,,,,,
366,"1241-1","Polliniques au bouleau et sensibilisés au céleri (certains avec syndrome oral)","Birch pollinosis subjects sensitized to celery (some with oral allergy syndrome",,,,,,,
367,"1246-1","Donneurs de sang positifs in vitro pour le latex et la fléole","Blood donors positive in vitro for for latex and timothy-grass",,,,,,,
368,"1247-1","Patient allergique à différentes Fabacées","A patient allergic to different Fabaceae",,,,,,,
369,"1254-1","Patients avec pollinose et TC positif pour le pollen de ricin","Pollinosis patients with +ST for ricin pollen",,,,,,,
370,"1256-1","Polliniques avec réactions alimentaires (fruits, légumes, fruits à coque) et RAST latex positif","Pollinosis patients with food allergies (fruit, vegetables, nuts) and RAST+ for latex ",,,,,,,
371,"1256-2","Sujets polliniques (graminées, olivier) sans exposition au pollen de bouleau mais CAP positifs bouleau","Pollinosis subjects (grasses, olive trees) with a + birch RAST but no contact with birch trees ",,,,,,,
372,"1267-1","Adultes allergiques au latex et TC positifs pour la pomme de terre","Adulta allergic to latex and ST+ for potato",,,,,,,
373,"1267-2","Enfants allergiques au latex et RAST positifs pour Sola t 1","Children allergic to latex and RAST+ for Sola t 1",,,,,,,
374,"1269-1","Patient allergique à la pistache","A patient allergic to pistachios",,,,,,,
375,"1276-1",,,"Manquent détails","Details missing",,,,,
376,"1278-1","Sujets positifs in vitro pour le latex d'Hévéa et la sève de jetulong","Subjects + in vitro for latex (Hevea) and jetulong sap",,,,,,,
377,"1292-1","patients allergiques à la viande de bœuf (pas exclusivement) avec TC ou IgE +","Patients allergic to beef meat (not exclusively) with +ST and IgE",,,,,,,
378,"1297-1","Sujets positifs pour les pollens de graminées et de colza","Subjects positive for grass pollen and colza pollen",,,,,,,
379,"1300-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
380,"1307-1","Sujets RAST positifs pour les albumines de mammifères et allergiques aux ""animaux""","Subjects RAST+ for mammalian albumin and allergic to ""animals""",,,,,,,
381,"1310-1","Patients allergiques à l'abricot","Patients allergic to apricots",,,,,,,
382,"1322-1","Polliniques bouleau allergiques à la pomme","Birch pollinosis patients who are allergic to apples",,,,,,,
383,"1323-1","Patient pollinique au bouleau et aux graminées avec syndrome oral (pomme, carotte)","A patient with pollinosis due to birch and grasses with oral allergy syndrome (apple, carrot)",,,,,,,
384,"1323-2","Patient allergique à l'abeille et positif in vitro pour des pollens et aliments végétaux","A patient allergic to bees with + in vitro assays for pollens and vegetables",,,,,,,
385,"1329-1","Sujets allergiques au contact des asperges","Subjects with contact allergy to asparagus",,,,,,,
386,"1333-1","Patients allergiques au Penicillium","Patients allergic to penicillin",,,,,,,
387,"1338-1","Patients allergiques au céleri","Patients allergic to celery and/or with birch pollinosis",,,,,,,
388,"1342-1","Patients avec allergie au lait de vache","Patients allergic to cow's milk",,,,,,,
389,"1344-1",,,"Manquent détails dans l'article",,,,,,
390,"1351-1","Patients allergiques au latex et présentant un syndrome latex-fruits","Patients allergic to latex who present with a latex-fruit syndrome",,"Details missing in the article",,,,,
391,"1355-1","Patients avec syndrome oral et TC natif positif pour des fruits des rosacées, et TC positifs pour les LTP","Patients with oral allergy syndrome and +ST for Rosaceae fruit and +ST for LTPs",,,,,,,
392,"1355-2","Un patient exclusivement sensibilisé aux LTP","A patient sensitized only to LTP",,,,,,,
393,"1355-3","Patients avec syndrome oral et TC natif positif pour des fruits des rosacées, et TC positifs pour les LTP","Patients with oral allergy syndrome and ST+ for Rosaceae fruit and +ST for LTPs",,,,,,,
394,"1358-1","Pollinose au châtaignier","Chestnut pollinosis",,,,,,,
395,"1359-1","Anaphylaxie au pignon de pin","Anaphylaxis to pine nuts",,,,,,,
396,"1363-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
397,"1364-1","Allergie aux poissons et IgE+ aux poissons testés","Fish allergy and IgE+ to all fish tested",,,,,,,
398,"1366-1","Patient asthmatique","An asthmatic patient",,,,,,,
399,"1400-1","Sujets TC positifs pour le pollen de Cenchrus ciliaris","Subjects ST+ for Cenchrus ciliaris pollen",,,,,,,
400,"1401-1","Une patiente non pollinique allergique à différents fruits (positivité pour une bande unique 30kD)","A patients without pollinosis who is allergic to different fruits (+ on a unique 30 kDa band)",,,,,,,
401,"1404-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
402,"1409-1","Allergiques au pollen de ginkgo","Subjects allergic to ginkgo",,,,,,,
403,"1413-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
404,"1422-1","Patients exposés professionnellement","Patients occupationally exposed",,,,,,,
405,"1423-1","Sujets TC positifs pour Imperata cylindrica","Subjects ST+ for Imperata cylindrica",,,,,,,
406,"1424-1","Allergiques au pollen d'olivier et aux graminées","Subjects allergic to olive and grass pollens",,,,,,,
407,"1431-1","Patients polliniques à l'armoise et allergiques aux rosacées","Patients with pollinosis to mugwort and allergic to Rosaceae",,,,,,,
408,"1434-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
409,"1444-1","Patients allergiques aux graines de citrouille","Patients allergic to pumpkin seeds",,,,,,,
410,"1447-1","Patients allergiques au latex","Patients allergic to latex",,,,,,,
411,"1450-1","Allergie avec la tisane de camomille (patients polliniques)","Allergy to camomille tea (pollinosis patients)",,,,,,,
412,"1452-1","Patients présentant une allergie alimentaire au maïs","Patients presenting food allergy to corn",,,,,,,
413,"1457-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
414,"1468-1","Patients allergiques au chien et au chat","Patients allergic to dog and cat",,,,,,,
415,"1473-1",,,"Manquent détails dans l'article","Details missing in the article",,,,,
416,"1485-1","Patients avec un test cutané positif pour le chiendent digité","Patients with a +ST for Bermuda grass",,,,,,,
417,"1487-1","Sujets avec allergie respiratoire et TC positif chat, négatifs en albumines","Subjects with respiratory allergy and +ST to cat, − to albumin",,,,,,,
418,"1487-2","Sujets avec allergie respiratoire et TC positif chat, positifs en albumines","Subjects with respiratory allergy and +ST to cat, + to albumin",,,,,,,
419,"1492-1",,,"Données inexploitables","Data inexploitable",,,,,
420,"1499-1","Sujets polliniques présentant une réactivité pour les pollens de dactyle et d'olivier","Pollinosis subjects presenting with reactivity for orchard grass and olive",,,,,,,
421,"1505-1","Sujets allergiques à l'arachide","Subjects allergic to peanuts and CAP+ to wheat and corn flour",,,,,,,
422,"1509-1","Allergie respiratoire avec exposition au chat et/ou au chien","Respiratory allergy on exposure to cat and/or dog",,,,,,,
423,"1513-1","Sujets avec double positivité abeille-guêpe en CAP","Subjects CAP+ to both bee and wasp ",,,,,,,
424,"1532-1","Adultes allergiques à la courgette","Adults allergic to zucchini",,,,,,,
425,"1537-1","Patient mono-pollinique (armoise) et présentant des réactions à la pistache","A patient with pollinosis only to mugwort presenting with reactions to pistachio",,,,,,,
426,"1544-1","Patient allergique à Cladosporium et Alternaria","A patient allergic to Cladosporium and Alternaria",,,,,,,
427,"1556-1","Sujets allergiques au latex et CAP positifs Ficus","Subjects allergic to latex and CAP+ for Ficus",,,,,,,
428,"1583-1","Sujets positifs in vitro pour l'abeille et pour PLA2 (nApi m 1)","Subjects + in vitro for bee and for PLA2 (nApi m 1)",,,,,,,
429,"1602-1","Allergie de contact puis alimentaire avec la carotte","Contact allergy and then food allergy to carrot",,,,,,,
430,"1626-1",,,"Manquent détails dans l'article","Details missing in the article",,,,,
431,"1627-1","Patients sensibilisés au latex d'Hevea","Patients sensitized to Hevea latex",,,,,,,
432,"1632-1","Sujets allergiques à l'œuf de poule","Subjects allergic to chicken egg",,,,,,,
433,"1656-1","Enfants positifs in vitro pour arachide, soja, lentille et pois chiche","Children + in vitro to peanut, soybeans, lentils and chickpea",,,,,,,
434,"1658-1","Enfants allergiques à l'arachide (n'ayant jamais eu de contact avec les noix et les amandes)","Children allergic to peanut (never having had contact with walnuts or almonds",,,,,,,
435,"1658-2","Sujets allergiques à l'arachide et aux fruits à coque","Subjects allergic to peanut and to tree nuts",,,,,,,
436,"1661-1","1 patient allergique aux viandes de bœuf, agneau et porc avec TC+","One patient allergic to beef, lamb and pork meat with +ST",,,,,,,
437,"1662-1","Patients allergiques aux noix","Patients allergic to walnuts",,,,,,,
438,"1663-1",,,,,,,,,
439,"1664-1","Patients ayant présenté une anaphylaxie au blé induite par l'effort","Patients having presented with anaphylaxis to wheat induced by exercise",,,,,,,
440,"1667-1","Patients allergiques au bouleau","Patients allergic to birch",,,,,,,
441,"1668-1",,,"Manquent détails dans l'article","Details missing in the article",,,,,
442,"1675-1","Sujets positifs pour l'aulne et le genévrier","Subjects + for alder and juniper",,,,,,,
443,"1700-1","Sujets positifs pour le plantain","Subjects + for plantain",,,,,,,
444,"1701-1",,,"Manquent détails dans l'article","Details missing the article",,,,,
445,"1703-1","Patients polliniques aux graminées","Patients with grass pollinosis",,,,,,,
446,"1707-1","Patient allergique au manioc, non atopique","A nonatopic patient allergic to manioc",,,,,,,
447,"1713-1",,,"Données inexploitables","Data inexploitable",,,,,
448,"1714-1","Allergiques au sarrasin","Subjects allergic to buckwheat",,,,,,,
449,"1727-1","Polliniques olivier","Subjects with olive pollinosis",,,,,,,
450,"1728-1","Patient asthmatique","Asthmatic patients",,,,,,,
451,"1731-1","Sujets avec syndrome armoise-céleri et RAST positif mangue","Subjects with the mugwort-celery syndrome and a RAST+ for mango",,,,,,,
452,"1736-1","Sujets positifs in vitro pour les acariens testés","Subjects + in vitro for the mites assayed",,,,,,,
453,"1736-2","Sujets positifs in vitro pour les acariens testés","Subjects + in vitro for the mites assayed",,,,,,,
454,"1740-1","Allergique aux haricots verts","Subjects allergic to string beans",,,,,,,
455,"1798-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
456,"1804-1","Allergie à différentes Lactucées","Allergy to various Lactuceae (Cichorieae)",,,,,,,
457,"1807-1","Sujets avec syndrome armoise-épices","Subjects with the mugwort-spices syndrome",,,,,,,
458,"1815-1","Sujets allergiques au latex (spina bifida et personnel soignant)","Subjects allergic to latex (spina bifida and health care personnel",,,,,,,
459,"1820-1","Polliniques au bouleau avec allergie à la noisette","Subjects with birch pollinosis and allergy to hazelnut",,,,,,,
460,"1848-1","Patients allergiques au latex et RAST positifs pour les énolases","Patients allergig to latex and RAST+ for enolases",,,,,,,
461,"1856-1","Sujets professionnellement exposés et allergiques au latex","Subjects occupationally exposed and allergic to latex",,,,,,,
462,"1882-1","Patients allergiques aux graminées","Patients allergic to grasses and/or to wheat flour",,,,,,,
463,"1888-1","Patients allergiques à la cerise","Patients allergic to cherries",,,,,,,
464,"1889-1","Patients polliniques et allergiques au kaki (TPODA positif)","Patients with pollinosis who are allergic to persimmon (DBOFC+)",,,,,,,
465,"1902-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
466,"1936-1","Enfants avec dermatite atopique","Children with atopic dermatitis",,,,,,,
467,"1939-1","Patients avec allergie au céleri (TPODA)","Patients allergic to celery (DBOFC+)",,,,,,,
468,"1956-1","Patients allergiques aux Hyménoptères avec réaction anaphylactique à P. chinensis","Patients allergic to Hymenoptera with an anaphylactic reaction to P.chinensis",,,,,,,
469,"1965-1","Patients avec asthme/rhinite","Patients with asthma/rhinitis",,,,,,,
470,"1966-1","Boulanger avec rhinite/asthme et TC+ acariens","A baker with rhintis/asthma and ST+ to mites",,,,,,,
471,"1968-1","Fermiers avec allergie respiratoire et au moins 1 TC+ acariens","Farmers with respiratory allery and at least one +ST to mites",,,,,,,
472,"1969-1","Sujets polliniques avec symptômes perannuels","Pollinosis subjects with perennial symptoms",,,,,,,
473,"1972-1",,,"Pas de RC testée ou méthodologie non conforme","CR not assayed or non-conforming method",,,,,
474,"1987-1","Anaphylaxie à l'ingestion de chérimole chez une infirmière allergique au latex","Anaphylaxis after ingestion of Chirimuya",,,,,,,
475,"2001-1","Allergie au lupin","Allergy to lupin",,,,,,,
476,"2009-1","Patient avec pollinose au tilleul et TC positif pour d'autres pollens","A patient with pollinosis to tilia and ST+ for other pollen",,,,,,,
477,"2025-1","Histoire d'allergie aux poissons avec RAST+","A history of allergy to fish with a +RAST",,,,,,,
478,"2028-1","Sujets allergiques au latex ou à Aspergillus, avec un ELISA positif pour rHev b 10","Subjects allergic to latex or Aspergillus, with an ELISA + for rHev b 10",,,,,,,
479,"2030-1","Un patient avec allergie alimentaire pour la banane et urticaire au contact du Ficus et de l'arbre à pain","A patient with food allergy to banana and urticaria on contact with ficus and breadfruit",,,,,,,
480,"2046-1","Sujets allergiques à la prune (et pour beaucoup à d'autres rosacées)","Subjects allergic to prune (and many also allergic to other Rosaceae)",,,,,,,
481,"2068-1","Allergie au bouleau et à la poire","Allergy to birch and pear",,,,,,,
482,"2071-1","Polliniques bouleau avec syndrome oral","Birch pollinosis and oral allergy syndrome",,,,,,,
483,"2085-1","Episodes d'urticaire généralisée dus à la bière","Episodes of generalized urticaria due to beer",,,,,,,
484,"2089-1","9 patients allergiques à l'œuf TC ou TPO +","Nine patients allergic to egg with a +ST or OFC",,,,,,,
485,"2096-1","patients allergiques aux plumes d'oiseaux et au jaune d'œuf","Patients allergic to bird feathers and egg yolk",,,,,,,
486,"2100-1","Sujets allergiques au lait de vache et IgE+ pour le lait de chèvre","Subjects allergic to cow's milk and IgE+ for goat's milk",,,,,,,
487,"2138-1",,,"Manquent détails (résumé possésé seulement)","Details missing (only the abstract available)",,,,,
488,"2144-1","Asthme à l'inhalation de poudre de psyllium","Asthma following inhalation of psyllium powder",,,,,,,
489,"2173-1","Sujet non pollinique allergique à l'oignon (cru)","A subject allergic to raw onion but not to pollen",,,,,,,
