"groupe de patient","recrutement","pays","nombre de sujets","sérums testés séparément","inhibitions chiffrées","date","pas de RC testée etc","remarques"
"1815-1","Sujets allergiques au latex (spina bifida et personnel soignant)","USA","4",-1,-1,17-juil.-07,,
"182-1",,,,-1,-1,13-nov.-09,-1,"Utilisation d'un mAb"
"1820-1","Polliniques au bouleau avec allergie à la noisette","Allemagne","4",0,0,30-oct.-07,,
"183-1","Sujets avec allergie au poisson et au surimi","France","2",-1,-1,17-juil.-07,,
"1848-1","Patients allergiques au latex et RAST positifs pour les énolases","Autriche","10",0,-1,26-juil.-07,,
"185-1","Sujets fortement réactifs pour Lol p 1","Pays-Bas","3",0,0,30-août-07,,
"1856-1","Sujets professionnellement exposés et allergiques au latex","Allemagne","14",-1,0,17-juil.-07,,
"186-1",,,,-1,-1,30-août-07,-1,"Pas de RC testée ou méthodologie non conforme"
"187-1","Patient allergique au chien","Autriche","1",-1,0,20-oct.-07,,
"188-1",,,,-1,-1,21-nov.-07,-1,"Ab"
"1882-1","Patients allergiques aux graminées","Allemagne","?",0,0,30-août-07,,
"1888-1","Patients allergiques à la cerise","Allemagne","3",-1,0,03-août-07,,
"1889-1","Patients polliniques et allergiques au kaki (TPODA positif)","Allemagne","3",-1,-1,26-juil.-07,,
"1902-1",,,,-1,-1,21-nov.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"192-1","Enfants asthmatiques et allergiques aux acariens","Suède","20",0,-1,17-juil.-07,,
"1936-1","Enfants avec dermatite atopique","Japon","?",-1,0,03-août-07,,
"1939-1","Patients avec allergie au céleri (TPODA)","Allemagne / Suisse","3",-1,-1,01-déc.-09,,
"1956-1","Patients allergiques aux Hyménoptères avec réaction anaphylactique à P. chinensis","Corée","7?",0,-1,13-janv.-08,,
"196-1","sujet allergique à l'armoise et aux aliments de la famille des Ombellifères avec TPO+ à huile et graine de tournesol","France","1",-1,-1,17-juil.-07,,
"1965-1","Patients avec asthme/rhinite","Corée","12",0,-1,17-juil.-07,,
"1966-1","Boulanger avec rhinite/asthme et TC+ acariens","Finlande","1",-1,-1,17-juil.-07,,
"1968-1","Fermiers avec allergie respiratoire et au moins 1 TC+ acariens","Suède","2",-1,-1,17-juil.-07,,
"1969-1","Sujets polliniques avec symptômes perannuels","Espagne","11",0,-1,13-janv.-08,,
"1972-1",,,,-1,-1,20-oct.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"198-1",,,,-1,-1,25-nov.-09,-1,"Méthode non traditionnelle (passage sur colonnes greffées avec des extraits d'aliments)"
"1987-1","Anaphylaxie à l'ingestion de chérimole chez une infirmière allergique au latex","Espagne","1",-1,-1,15-août-07,,
"2-1","Patients allergiques aux acariens","Japon","3",-1,-1,12-nov.-09,,
"20-1","Allergiques au chat ou au chat et au chien","Canada","64?",0,-1,17-juil.-07,,
"200-1","sujets ayant une IgE-réactivité pour le chat et pour la viande de porc","France","10",-1,-1,17-juil.-07,,
"2001-1","Allergie au lupin","France","1",-1,0,31-oct.-07,,
"2009-1","Patient avec pollinose au tilleul et TC positif pour d'autres pollens","Espagne","1",-1,-1,04-oct.-07,,
"201-1","Fermiers exposés à des acariens de stockage","Suède","6",0,0,17-juil.-07,,
"2025-1","Histoire d'allergie aux poissons avec RAST+","Japon","1",-1,-1,17-juil.-07,,
"2028-1","Sujets allergiques au latex ou à Aspergillus, avec un ELISA positif pour rHev b 10","Autriche","7",-1,-1,26-juil.-07,,
"2030-1","Un patient avec allergie alimentaire pour la banane et urticaire au contact du Ficus et de l'arbre à pain","Martinique","1",-1,-1,26-juil.-07,,
"2046-1","Sujets allergiques à la prune (et pour beaucoup à d'autres rosacées)","Italie","?",0,0,03-août-07,,
"205-1",,,,-1,-1,16-août-07,-1,"Manquent détails dans l'article"
"2068-1","Allergie au bouleau et à la poire","Allemagne","1",-1,-1,03-août-07,,
"207-1","Sujets allergiques à la pêche avec TPO+ et TC+ bouleau et graminées","Italie","3",-1,0,17-juil.-07,,
"2071-1","Polliniques bouleau avec syndrome oral","Allemagne","3",-1,0,13-janv.-08,,
"2085-1","Episodes d'urticaire généralisée dus à la bière","Italie","1",-1,-1,13-janv.-08,,
"2089-1","9 patients allergiques à l'œuf TC ou TPO +","Australie","9",-1,-1,17-juil.-07,,
"2096-1","patients allergiques aux plumes d'oiseaux et au jaune d'œuf","Espagne","7",0,-1,17-juil.-07,,
"21-1",,,,-1,-1,04-oct.-07,-1,"mAb"
"2100-1","Sujets allergiques au lait de vache et IgE+ pour le lait de chèvre","France","12",-1,-1,17-juil.-07,,
"211-1","Sujets positifs pour Fusarium","Inde","?",0,0,29-oct.-07,,
"213-1","Sujets RAST+ pour Blomia et Dermatophagoides","USA","7",0,-1,17-juil.-07,,
"2138-1",,,,-1,-1,30-août-07,-1,"Manquent détails (résumé possésé seulement)"
"214-1","Patients rapportant une réaction systémique et positifs pour V. germanica et/ou P. dominulus et/ou V. crabro","Espagne","8",-1,-1,25-nov.-09,,
"2144-1","Asthme à l'inhalation de poudre de psyllium","Espagne","1",-1,-1,05-janv.-08,,
"2173-1","Sujet non pollinique allergique à l'oignon (cru)","Italie","1",-1,-1,03-août-07,,
"2174-1","Sujets allergiques à la carotte (TPODA)","Suisse","14",-1,0,03-août-07,,
"2176-1","Sujets allergiques au latex et positifs pour rHev b 8","Autriche","21",0,-1,26-juil.-07,,
"2177-1","Patient allergique au sésame","Italie","1",-1,0,30-oct.-07,,
"2178-1","Pollinose armoise","Espagne","?",0,-1,04-oct.-07,,
"2179-1",,,,-1,-1,28-janv.-09,-1,"pas de détails sur les espèces des animaux testés"
"218-1",,,,-1,-1,28-sept.-09,-1,"Problèmes techniques"
"2180-1",,,,-1,-1,28-févr.-09,-1,"manquent détails"
"2182-1","Une infirmière allergique au latex et présentant des réactions alimentaires avec les Drupacées","USA","1",-1,-1,26-juil.-07,,
"2183-1","Histoire d'allergie aux poissons avec RAST+","USA","3",-1,0,17-juil.-07,,
"2184-1",,,,-1,-1,17-juil.-07,-1,"Données inexploitables"
"2185-1","Allergie au saumon","USA","2",-1,-1,17-juil.-07,,
"2187-1","Allergiques au céleri avec TC positifs bouleau et/ou armoise","Suisse","6",-1,-1,03-août-07,,
"219-1","Fermiers et citadins avec IgE+ pour les acariens à tester","Autriche","10",0,-1,17-juil.-07,,
"2191-1","1 patients allergique aux fromages de chèvre et de brebis sans allergie au lait de vache","Suisse","1",-1,-1,17-juil.-07,,
"2192-1",,,,-1,-1,17-juil.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"2195-1",,,,-1,-1,28-sept.-09,-1,"Pas de RC testée"
"2199-1","Allergie aux pignons de pin chez un patient présentant un syndrome œuf-oiseaux","Pays-Bas","1",-1,-1,01-déc.-09,,
"220-1",,,,-1,-1,27-févr.-09,-1,"il ne semble qu'une Rc ait été testée"
"2201-1","Sensibilisation professionnelle à la farine d'épeautre","Italie","1",-1,0,13-janv.-08,,
"2221-1","Fermiers avec TC+ Tetranychus urticae ou Panonychus ulmi et RAST+ D ptero","Corée","5",0,-1,17-juil.-07,,
"2226-1","Patients allergiques à l'amande et polliniques au bouleau","France","8",0,0,23-oct.-07,,
"2227-1","Patients allergiques à la pistache","France","4",0,0,23-oct.-07,,
"223-1","Patients atopiques","Japon","8",-1,-1,13-nov.-09,,
"225-1","patients allergiques au jaune d'œuf et aux plumes d'oiseaux avec TC+ et IgE+","Autriche","13",0,0,17-juil.-07,,
"2253-1",,,,-1,-1,28-sept.-09,-1,"Pas de RC testée"
"226-1",,,,-1,-1,20-oct.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"2275-1","Patient allergique au latex et au sarrasin","Allemagne","1",-1,-1,22-août-07,,
"2293-1","Patients allergiques à la tomate et sensibilisés (ou allergiques) au latex","Espagne","40",0,0,26-juil.-07,,
"2297-1","Patient avec sensibilisation professionnelle à Bombus terrestris","USA","1",-1,-1,17-juil.-07,,
"2297-2","Patient avec sensibilisation Bombus pennsylvatica","USA","1",-1,-1,17-juil.-07,,
"232-1","sujets allergiques au pollen d'olivier avec TC+ et IgE+","Espagne","10",0,-1,17-juil.-07,,
"235-1","sujets allergiques au latex et à la banane","France","2",-1,0,17-juil.-07,,
"2361-1","Sujets positifs in vitro pour au moins 2 pollens et au moins 5 aliments végétaux","Allemagne","1",-1,-1,15-juin-09,,
"2362-1","Patients avec asthme du boulanger","Grande Bretagne","11",0,-1,01-déc.-09,,
"237-1",,,,-1,-1,13-nov.-09,-1,"Pas de RC testée"
"238-1","Patients ""sensibilisés"" à la crevette et/ou la blatte","Espagne","?",0,-1,17-juil.-07,,
"2384-1","Patients ""sensibilisés"" à l'arachide ou à la pistache ou à la noisette ou à la noix de cajou","France","5 de chaque",-1,-1,30-oct.-07,,
"239-1",,,,-1,-1,25-nov.-09,-1,"Pas de RC testée"
"240-1","Un patient allergique au ficus et un patient allergique au latex puis au ficus","France","2",-1,-1,25-juil.-07,,
"242-1","sujets avec IgE+ au latex et à la papaïne","Allemagne","6",-1,-1,17-juil.-07,,
"242-2","sujets avec IgE+ au latex et pas à la papaïne","Allemagne","5",-1,-1,17-juil.-07,,
"242-3","sujets avec IgE+ à la papaïne et pas au latex","Allemagne","3",-1,-1,17-juil.-07,,
"244-1","sujets ""sensibilisés"" à la pariétaire","Espagne","40",0,-1,17-juil.-07,,
"245-1","Sujets asthmatiques et allergiques aux acariens","Cuba","35?",0,-1,17-juil.-07,,
"247-1","sujets allergiques soit à C. glaucophylla, soit C. sempervirens, soit bouleau, soit ivraie","Australie / France","4",-1,-1,01-déc.-09,,
"2473-1","Sujets CAP positifs pour Vespula et abeille","Autriche","16",-1,-1,17-juil.-07,,
"2473-2","Patients avec IgE-réactivité CCD et TC+ hyménoptères (à dose maximale)","Autriche","2",-1,-1,01-mars-09,,
"248-1","Sujets positifs in vitro pour Candida et Malassezia","Suède","?",0,0,29-oct.-07,,
"249-1",,,,-1,-1,18-sept.-09,-1,"Pas de RC testée"
"250-1","Sujets RAST+ plantain et psyllium","USA","?",-1,0,04-oct.-07,,
"252-1",,,,-1,-1,04-oct.-07,-1,"Pas de RC testée (CRIE)"
"253-1","Patient allergique aux escargots et TC+ acariens","Pays-Bas","1",-1,-1,17-juil.-07,,
"254-1","sujets allergiques au cyprès commun C. sempervirens avec TC+","Israël","3",0,-1,17-juil.-07,,
"258-1","Allergiques aux acariens","Pays-Bas","?",0,-1,17-juil.-07,,
"259-1","Patients allergiques au bouleau et à la pomme","Allemagne","?",0,-1,25-nov.-09,,
"260-1","Sujets polliniques avec réactions alimentaires","Espagne","4",0,-1,03-août-07,,
"261-1","Patient mono-Bet v 1","Pays-Bas","1",-1,-1,04-oct.-07,,
"2638-1","Sujets allergiques à la noisette et polliniques (platane, graminées)","Espagne","?",0,0,12-août-07,,
"2645-1","Sujets polliniques (platane, graminées) allergiques à la cerise","Espagne","?",0,-1,03-août-07,,
"266-1","Polliniques au bouleau avec allergie à la pomme","Autriche","9",-1,0,19-nov.-09,,
"2666-1","Patients avec rhinite/asthme et IgE+ pour rPlo i","Autriche","3",-1,0,17-juil.-07,,
"2677-1","Patient avec ABPA et ""sensibilisé"" à Aspergillus","Suisse","1",-1,-1,29-oct.-07,,
"269-1","sujets allergiques avec TC+ et IgE+ au latex (env. 1/2 avec TC+ avocat)","Finlande","10",-1,0,17-juil.-07,,
"269-2","sujets allergiques au latex avec TC+ et IgE+","Finlande","2",-1,-1,17-juil.-07,,
"27-1","sérothèque 61 sujets IgE + armoise (dont 36 céleri +,23 bouleau + et 23 positifs aux 3)","France","1 à 4",-1,0,17-juil.-07,,
"2700-1","2 enfants non allergiques au lait de vache ayant fait des réactions à des produits laitiers issus du lait de chèvre","France","2",-1,-1,17-juil.-07,,
"274-1",,,,-1,-1,30-août-07,-1,"Manquent détails (résumé possésé seulement)"
"275-1","Allergiques au sarrasin","Japon","10",0,-1,22-août-07,,
"275-2","Sujets positifs in vitro pour le sarrasin et le riz mais sans allergie au sarrasin","Japon","11",0,-1,10-juin-08,,
"2753-1",,,,-1,-1,23-oct.-07,-1,"Manquent détails (résumé possésé seulement)"
"2755-1","Sujets TC positifs pour Cladosporium, Aspergillus et/ou Alternaria","Grande Bretagne","4",-1,-1,29-oct.-07,,
"2756-1","Sérum d'un sujet positif in vitro pour rJun o 4 et rAln g 4","Italie","1",-1,-1,13-janv.-08,,
"2757-1","Polliniques aux graminées","Autriche","2",-1,0,30-août-07,,
"276-1","Sujets allergiques au céleri","Allemagne","?",-1,0,03-août-07,,
"2761-1","Patients polliniques aux graminées","USA","5",0,-1,01-déc.-09,,
"2762-1","Patients allergiques à l'ambroisie","USA","5",0,-1,04-oct.-07,,
"2763-1","Sujets avec un TC positif pour diverses graminées tempérées et tropicales","USA","15",0,-1,30-août-07,,
"2764-1","Polliniques aux graminées","Espagne","10",0,-1,27-août-09,,
"2765-1","Sujets polliniques aux graminées et positifs pour le pollen de seigle","Allemagne","?",0,-1,30-août-07,,
"2766-1",,,,-1,-1,30-août-07,-1,"Manquent détails (résumé possésé seulement)"
"2769-1","Sujets positifs pour différentes Oléacées","France","20",0,-1,04-oct.-07,,
"278-1","sujets allergiques à la farine de blé","Grande Bretagne","11",0,-1,01-déc.-09,,
"279-1","Sujets avec antécédants de piqûre par une guêpe Polistes et positifs en RAST pour P. dominulus ou gallicus","Espagne","4",-1,-1,17-juil.-07,,
"284-1","sujets allergiques au pollen de bouleau avec TC+ et IgE+ et ayant eu des réactions cliniques avec des aliments (au moins avec 2 parmi pomme, poire, céleri, carotte et p de terre)","Autriche","20",0,0,17-juil.-07,,
"284-2","sujets allergiques au pollen de bouleau avec TC+ et IgE+ et ayant eu des réactions cliniques avec des aliments (au moins avec 2 parmi pomme, poire, céleri, carotte et p de terre)","Autriche","7",0,0,17-juil.-07,,
"285-1",,,,-1,-1,20-oct.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"286-1",,,,-1,-1,01-déc.-09,-1,"Pas de RC testée"
"287-1","Sujets positifs pour le cèdre du Japon","Japon","?",0,-1,04-oct.-07,,
"2872-1","Pollinose à l'olivier et au chénopode","Espagne","4",-1,-1,04-oct.-07,,
"2873-1",,,,-1,-1,29-oct.-07,-1,"Manquent détails (résumé possésé seulement)"
"288-1","sujets allergiques au pollen de gaminées avec TC+ et IgE+ ayant des réactions cliniques et des TC+ aux fruits des Rosacées","Espagne","11",-1,-1,17-juil.-07,,
"2887-1","Patients asthmatiques","Taiwan","2",-1,-1,25-nov.-09,,
"289-1",,,,-1,-1,27-févr.-09,-1,"RC testées avec sérums de souris"
"2895-1","Patients allergiques à la noisette (TPODA+)","Danemark / Suisse","9",0,0,01-déc.-09,,
"2895-2","Patients ayant montré une réaction sévère à la noisette","Espagne","7",0,0,12-août-07,,
"29-1","Patients allergiques aux venins d'abeille et/ou de guêpe (région sans présence de Solenopsis)","USA","7",-1,-1,30-nov.-09,,
"29-2","Patients allergiques aux venins d'abeille et/ou de guêpe (région avec contact possible avec Solenopsis)",,"9",-1,-1,30-nov.-09,,
"290-1","sujets allergiques au latex avec TC+ et IgE+ ayant des réactions cliniques aux fruits","France","10",-1,-1,17-juil.-07,,
"2909-1","Sujets polliniques (dont platane) et présentant des réactions alimentaires","Espagne","11 à 14",0,-1,12-août-07,,
"291-1","Patients présentant une dermatite atopique","Finlande","?",0,-1,29-oct.-07,,
"2918-1","Anaphylaxie aux graines de tournesol","Italie","1",-1,0,30-oct.-07,,
"292-1","Sujets TC+ blatte germanique et D. pteronyssinus","Italie","?",0,-1,17-juil.-07,,
"2920-1","Multi-polliniques (armoise, et/ou platane et/ou pariétaire et/ou chénopode, etc..)","Espagne","?",0,-1,26-juil.-07,,
"293-1","sujets allergiques au renne (phanères et produits dérivés) avec TC+ et IgE+","Autriche","8",-1,-1,17-juil.-07,,
"2935-1","Allergie au platane","Espagne","18",0,-1,04-oct.-07,,
"2936-1","Patiente présentant une réaction anaphylactique aux épinards","Espagne","1",-1,0,15-août-07,,
"2942-1","Patients présentant un syndrome latex-fruits","Espagne","8",0,0,26-juil.-07,,
"2943-1","Sujets allergiques au latex","Autriche","10",-1,-1,17-juil.-07,,
"2945-1","Syndrome oral tomate avec pollinose cèdre du Japon","Japon","5",-1,-1,03-août-07,,
"2947-1","Patients polliniques avec RAST positif pour la noix de Nan Gai (bien que n'ayant jamais été en son contact)","Danemark","11",-1,-1,12-août-07,,
"2948-1","Sujets allergiques au cochon d'Inde","Allemagne","?",0,-1,21-oct.-07,,
"2950-1","Une patiente avec allergie professionnelle au latex et syndrome latex-fruits","Portugal","1",-1,0,26-juil.-07,,
"2950-2","Patient pollinique aux graminées sans allergie au latex","Portugal","1",-1,0,26-juil.-07,,
"2955-1","Sujet atopique CAP positif latex et litchi","Allemagne","1",-1,-1,26-juil.-07,,
"3-1",,,,-1,-1,13-nov.-09,-1,"RC testée au niveau T"
"30-1","17 sujets avec TC+ perruche et/ou canari (dont 10 avec syndrome œuf-oiseaux)","Suisse","?",0,-1,17-juil.-07,,
"300-1",,,,-1,-1,31-août-07,-1,"Utilisation d'un Ab"
"302-1",,,,-1,-1,24-oct.-07,-1,"utilisation d'un Ab"
"303-1",,,,-1,-1,29-oct.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"305-1","Sujets avec allergie aux poissons vérifiée par TPODA","Danemark","8",-1,-1,17-juil.-07,,
"3058-1",,,,-1,-1,26-juil.-07,-1,"Données inexploitables: pool de 180 sujets ???"
"3067-1","Polliniques au bouleau avec syndrome oral à divers aliments et RAST positif pour rBet v 6","Allemagne","2",0,-1,26-juil.-07,,
"3121-1",,,,-1,-1,18-sept.-09,-1,"Données inexploitables: inhibition réalisée avec un jus de pêche et non un extrait !"
"3133-1","1 patient avec anaphylaxie à l'acérola","Allemagne","1",-1,-1,26-déc.-08,,
"314-1","sujets allergiques au pollen de bouleau réagissant à au moins 2 aliments parmi pomme, poire, céleri, carotte, p de terre avec des IgE à Bet v1 et Bet v2 et une bande 13-18 kDa","Autriche","?",0,0,17-juil.-07,,
"316-1","sujets allergiques au chat et au chien (négatifs in vitro pour les albumines)","Autriche","5",0,-1,17-juil.-07,,
"318-1","sujets avec des IgE+ au céleri et des bandes de 46 à 60 kDa pour bouleau, armoise, céleri","Autriche","3",0,0,17-juil.-07,,
"318-2","sujets ayant une bande à 60 kDa pour armoise et pas pour bouleau et céleri","Autriche","2",0,-1,17-juil.-07,,
"3195-1","Patient asthmatique","Taiwan","1",-1,0,29-oct.-07,,
"3204-1","Patients asthmatiques et RAST+ pour Penicillium","Taiwan","?",0,0,29-oct.-07,,
"3215-1","Patients allergiques au latex, ou au ricin, ou à la mercuriale","Finlande / France","5 à 8",0,-1,01-déc.-09,,
"322-1","sujet allergique à l'olivier","Espagne","?",-1,-1,17-juil.-07,,
"323-1","sérum avec des IgE pour Dac g4","France","1",-1,-1,17-juil.-07,,
"326-1","2 sujets allergiques à l'arachide (cacahuète) et au soja et pas à d'autres légumes","USA","2",-1,0,01-déc.-09,,
"327-1","Sujets allergiques aux crevettes (allergie pour les autres produits : non précisée)","USA","9",0,0,17-juil.-07,,
"328-1",,,,-1,-1,13-nov.-09,-1,"Pas de RC testée"
"3281-1","Allergie professionnelle à l'anis","Espagne","1",-1,0,03-août-07,,
"3282-1","Pollinose printannière avec TC et/ou RAST positif pour le frêne","France","5",-1,0,04-oct.-07,,
"329-1","Pateints poly-polliniques et rapportant des réactions cliniques à divers fruits et légumes","Autriche","3",-1,0,17-juil.-07,,
"330-1","Sujets positifs en TC pour  Parthenium","Inde","6",0,-1,03-oct.-07,,
"331-1","Patients allergiques au latex","USA","?",0,-1,17-juil.-07,,
"334-1","Patients allergiques aux acariens et aux escargots","Italie","28",-1,-1,17-juil.-07,,
"334-2","Patients allergiques aux acariens et aux esgargots et RAST+ moule","Italie","2",-1,-1,17-juil.-07,,
"334-3","Patient allergique aux acariens et aux escargots","Pays-Bas","1",-1,-1,17-juil.-07,,
"334-4","Patients allergiques aux acariens et aux escargots avec RAST+ crevette","Italie","3",-1,-1,17-juil.-07,,
"3344-1","Patients allergiques aux fruits à coque","Italie","2",-1,0,30-oct.-07,,
"3346-1","Patients polliniques présentant des réactions à l'ananas et/ou à la banane mais non allergiques au latex","Allemagne","?",0,-1,26-juil.-07,,
"3367-1",,,,-1,-1,03-août-07,-1,"Manquent détails (résumé possésé seulement)"
"3375-1","Sujets allergiques aux lentilles","Espagne","22",0,-1,24-mars-08,,
"3403-1",,,,-1,-1,03-août-07,-1,"Manquent détails (résumé possésé seulement)"
"341-1","Allergie aux graminées et à la tomate","Allemagne","6",0,0,17-juil.-07,,
"341-2","Allergie aux graminées et à la tomate","Allemagne","6",-1,-1,17-juil.-07,,
"3410-1","Sujets allergiques au pollen de palmier","Espagne","?",0,0,04-oct.-07,,
"342-1","Sujets TC+ aux cyprès","Italie","4",0,-1,17-juil.-07,,
"343-1","Allergiques aux acariens","Australie","35?",0,-1,17-juil.-07,,
"3434-1","Patients avec histoire clinique et TC positifs pour l'escargot","Espagne","4",0,0,28-févr.-09,,
"344-1","Sujets polliniques allergiques au kiwi","Italie","30",0,0,25-juil.-07,,
"3446-1","Patients avec allergie respiratoire","Inde","?",0,-1,29-oct.-07,,
"345-1",,,,-1,-1,20-avr.-09,-1,
"348-1","Patient asthmatique","Taiwan","1",-1,0,29-oct.-07,,
"349-1",,,,-1,-1,13-nov.-09,-1,"Utilisation d'un Ab"
"350-1","Patients allergiques au latex avec TC banane positif","Finlande","5",-1,0,25-juil.-07,,
"3516-1","Une patiente avec anaphylaxie après ingestion de figue (séchée). Pas d'allergie au latex","Espagne","1",-1,0,26-juil.-07,,
"353-1",,,,-1,-1,22-févr.-09,-1,
"355-1","Allergiques aux acariens sous immunothérapie, avec RAST+ escargot","Italie","2",-1,-1,17-juil.-07,,
"356-1","Sujets atopiques","France","5",0,-1,20-oct.-07,,
"3568-1",,,,-1,-1,30-oct.-07,-1,"Pas de RC testée"
"357-1","Patients avec pollinose printannière","Allemagne","17",0,-1,03-oct.-07,,
"3570-1","?","Autriche","1",-1,0,17-juil.-07,,
"3571-1","Patients allergiques à la courgette","Suisse","2",-1,0,03-août-07,,
"358-1","Histoire d'allergie au poisson","USA","5",0,-1,17-juil.-07,,
"3593-1","Patients allergiques à la pêche et polliniques à l'armoise","Italie","17",0,0,03-août-07,,
"3593-2","Patients allergiques à la pêche et polliniques à l'armoise","Italie","10",0,0,03-août-07,,
"3593-3","Patients allergiques à la pêche et polliniques à l'armoise","Italie","3",0,0,03-août-07,,
"364-1",,,,-1,-1,29-mars-09,-1,"Utilisation d'Ab"
"365-1",,,,-1,-1,04-oct.-07,-1,"Manquent détails (résumé possésé seulement)"
"3688-1","(Niederberger, preliminary analysis, unpublished data)","Autriche","?",0,0,30-août-07,,
"3713-1","Professionnels de la boulangerie","Espagne","4",0,-1,29-oct.-07,,
"3716-1","Patients avec ABPA ou dermatite atopique et ""sensibilisés"" à Aspergillus fumigatus","Suisse","?",0,-1,29-oct.-07,,
"3725-1","Sujets allergiques aux rosacées non sensibilisés au bouleau","Italie","12",0,-1,26-juil.-07,,
"3763-1","Asthme et/ou rhinite et TC+ Blomia et D ptero","Singapour","3",-1,-1,17-juil.-07,,
"3770-1","Un cas d'urticaire généralisée due à la noix du Brésil","Italie","1",-1,-1,01-janv.-08,,
"3771-1","Pollinose au chénopode avec réactions alimentaires","Espagne","6",-1,0,12-août-07,,
"3800-1","Sujet atopique présentant une allergie au champignon Agaricus","USA","1",-1,0,29-oct.-07,,
"3802-1","Patients avec allergie respiratoire et TC positifs à différentes moisissures","Inde","10 ?",0,-1,29-oct.-07,,
"3803-1",,,,-1,-1,22-févr.-09,-1,"pas d'étude classique de RC : juste un epitope mapping"
"381-1",,,,-1,-1,01-déc.-09,-1,"inexploitable: les inhibitions ont été menées avec des fractions chromatographiques d'extraits (pas avec des allergènes connus)"
"3810-1","Polliniques olivier","Espagne","?",0,-1,04-oct.-07,,
"3815-1","Sujets positifs pour Hev b 2","Japon","7",0,-1,17-juil.-07,,
"389-1","Allergie et TC+ à Lepidoglyphus","Espagne","24?",0,-1,17-juil.-07,,
"3900-1","Anaphylaxie vis à vis d'un supplément nutritionnel contenant un isolat de soja","Allemagne","7",0,0,12-août-07,,
"3902-1","Enfant présentant rhinite et asthme","Taiwan","1",-1,0,19-nov.-09,,
"3939-1","Un patient pollinique et allergique au céleri","Autriche","1",-1,0,26-juil.-07,,
"3978-1","Sujets TC+ Tetranychus (non exposés) et TC+ acariens","Corée","5",0,-1,17-juil.-07,,
"3983-1",,,,-1,-1,17-juil.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"4008-1","Sujets allergiques au latex (professionnels de santé) et CAP positifs pomme de terre","Allemagne","4",-1,-1,25-juil.-07,,
"401-1",,,,-1,-1,01-déc.-09,-1,"Pas de RC testée"
"4013-1",,,,-1,-1,17-juil.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"4055-1","Sujets allergiques aux crevettes et IgE+ pour nPen m 2","Taiwan","13",-1,0,01-déc.-09,,
"410-1","Patients polliniques avec TC positifs au châtaignier et/ou au bouleau","Autriche","8 + 8",0,-1,25-oct.-07,,
"4113-1","Sujets TC positifs pour Cladosporium et Aspergillus fumigatus","Suisse","2",-1,-1,29-oct.-07,,
"4126-1","Sujets polliniques à l'armoise","Autriche","2",-1,-1,04-oct.-07,,
"413-1",,,,-1,-1,30-août-07,-1,"Pas de RC testée ou méthodologie non conforme"
"4166-1","Sujets allergiques au raisin (ou au vin) et à la pêche","Italie","4",0,0,25-juil.-07,,
"4166-2","Sujets allergiques au raisin (ou au vin) et à la pêche","Italie","6",0,0,25-juil.-07,,
"4166-3","Sujets allergiques au raisin (ou au vin) et à la pêche","Italie","4",0,0,25-juil.-07,,
"4168-1","Allergie au pois","Pays-Bas","3",-1,-1,01-déc.-09,,
"417-1",,,,-1,-1,28-févr.-09,-1,"Utilisation d'un mAb"
"419-1",,,,-1,-1,13-nov.-09,-1,"RC entre allergènes de D. pteronyssinus"
"4197-1",,,,-1,-1,30-avr.-08,-1,"Manquent détails (résumé possésé seulement)"
"421-1",,,,-1,-1,30-août-07,-1,"Utilisation de mAb"
"4258-1",,,,-1,-1,21-oct.-07,-1,"Manquent détails (résumé possésé seulement)"
"4260-1",,,,-1,-1,27-févr.-09,-1,"manquent détails dans le résumé"
"4269-1",,,,-1,-1,24-oct.-07,-1,"Manquent détails (résumé possésé seulement)"
"427-1",,,,-1,-1,18-nov.-09,-1,"Pas de RC testée entre allergènes de la fourmi et Ag5 de Vespides"
"429-1","Patients polliniques (Bétulacées) et allergiques à la noisette","Autriche","3",0,0,05-janv.-08,,
"429-2","Patients polliniques (Bétulacées) et allergiques à la noisette","Autriche","5",0,0,05-janv.-08,,
"435-1",,,,-1,-1,14-août-09,-1,"Utilisation d'un Ab"
"4353-1","Sujets allergiques au latex et à la gomme gutte","USA","3",-1,-1,25-juil.-07,,
"4373-1",,,,-1,-1,03-août-07,-1,"Données inexploitables"
"4374-1","Enfants CAP+ blatte germanique et crustacés","Taiwan","15",-1,-1,17-juil.-07,,
"4388-1","Patients avec un TC+ pour D. pteronyssinus","Thaïlande","5",-1,-1,17-juil.-07,,
"4391-1","Patients avec syndrome oral melon","Espagne","2",-1,0,03-août-07,,
"4396-1",,,,-1,-1,25-juil.-07,-1,"Manquent détails (résumé possésé seulement)"
"44-1",,,,-1,-1,01-déc.-09,-1,"RC testée avec méthodes anciennes (CRIE)"
"4407-1","Sérums positifs pour le plantain","USA","14",0,-1,04-oct.-07,,
"4412-1","Sujets TC positifs pour différentes moisissures","Inde","2",0,-1,29-oct.-07,,
"4413-1","Patient allergique à la citrouille","Espagne","1",-1,0,03-août-07,,
